file_id,significant_prediction,predicted_music_style,style_change_timestamps,num_tokens,confidence_scores,prediction,human_agree
031720_0.mid,"Ax469, Bx642, Ax411, Bx1885",ABAB,B:46.710s; A:1:21.700; B:1:52.240,3407,"A:0.950, B:0.942","Ax432, Bx1, Ax10, Bx1, Ax2, Bx2, Ax4, Bx6, Ax1, Bx5, Ax1, Bx7, Ax1, Bx5, Ax1, Bx9, Ax1, Bx592, Ax1, Bx8, Ax1, Bx2, Ax1, Bx2, Ax1, Bx1, Ax1, Bx1, Ax2, Bx11, Ax6, Bx1, Ax5, Bx1, Ax379, Bx1, Ax4, Bx1, Ax1, Bx2, Ax4, Bx2, Ax1, Bx1738, Ax1, Bx23, Ax1, Bx2, Ax1, Bx1, Ax1, Bx1, Ax1, Bx12, Ax1, Bx2, Ax2, Bx1, Ax1, Bx3, Ax1, Bx2, Ax1, Bx1, Ax1, Bx2, Ax1, Bx2, Ax1, Bx1, Ax4, Bx3, Ax1, Bx1, Ax2, Bx1, Ax4, Bx1, Ax2, Bx1, Ax10, Bx1, Ax48, Bx1, Ax1",true
030312_0.mid,"Ax1583, Bx502",AB,B:2:31.960,2085,"A:0.998, B:0.985","Ax1556, Bx1, Ax2, Bx1, Ax1, Bx5, Ax2, Bx18, Ax1, Bx4, Ax1, Bx493",true
030051_0.mid,"Ax467, Bx1346, Ax717, Bx877",ABAB,B:27.170s; A:1:25.550; B:1:51.260,3407,"A:0.967, B:0.944","Ax412, Bx1, Ax2, Bx1, Ax8, Bx1, Ax1, Bx2, Ax2, Bx3, Ax1, Bx2, Ax1, Bx4, Ax1, Bx6, Ax1, Bx1, Ax1, Bx5, Ax1, Bx947, Ax1, Bx102, Ax1, Bx138, Ax1, Bx241, Ax1, Bx1, Ax1, Bx2, Ax2, Bx1, Ax2, Bx1, Ax1, Bx1, Ax5, Bx2, Ax633, Bx1, Ax20, Bx1, Ax4, Bx2, Ax1, Bx1, Ax5, Bx1, Ax2, Bx2, Ax1, Bx1, Ax2, Bx1, Ax2, Bx4, Ax1, Bx6, Ax2, Bx25, Ax1, Bx5, Ax1, Bx774",true
030878_0.mid,"Ax938, Bx866, Ax824, Bx1345",ABAB,B:1:11.840; A:2:06.100; B:3:04.460,3973,"A:0.932, B:0.982","Ax609, Bx1, Ax11, Bx2, Ax2, Bx3, Ax1, Bx2, Ax2, Bx2, Ax7, Bx1, Ax5, Bx1, Ax2, Bx1, Ax2, Bx1, Ax268, Bx1, Ax3, Bx1, Ax3, Bx1, Ax1, Bx1, Ax3, Bx1, Ax3, Bx1, Ax1, Bx2, Ax4, Bx3, Ax1, Bx1, Ax1, Bx21, Ax1, Bx809, Ax1, Bx17, Ax1, Bx2, Ax1, Bx2, Ax1, Bx2, Ax1, Bx2, Ax1, Bx2, Ax4, Bx2, Ax1, Bx1, Ax3, Bx1, Ax209, Bx1, Ax11, Bx1, Ax1, Bx1, Ax14, Bx2, Ax2, Bx1, Ax4, Bx2, Ax3, Bx1, Ax1, Bx1, Ax2, Bx1, Ax2, Bx3, Ax14, Bx1, Ax7, Bx1, Ax561, Bx1, Ax2, Bx1, Ax2, Bx1, Ax2, Bx2, Ax2, Bx1, Ax2, Bx1, Ax2, Bx1, Ax3, Bx1, Ax1, Bx1, Ax1, Bx10, Ax1, Bx1257",false
031600_0.mid,"Ax782, Bx1214, Cx1140, Bx855",ABCB,B:54.090s; C:1:49.740; B:2:47.710,3991,"A:0.914, B:0.906, C:0.910","Ax560, Bx1, Ax2, Bx1, Ax2, Bx2, Ax1, Bx2, Ax1, Bx5, Ax1, Bx2, Ax1, Bx5, Ax1, Bx5, Ax1, Bx5, Ax1, Bx5, Ax1, Bx1, Ax4, Bx2, Ax1, Bx3, Ax1, Bx2, Ax1, Bx2, Ax1, Bx1, Ax2, Bx2, Ax1, Bx3, Ax1, Bx2, Ax1, Bx2, Ax1, Bx1, Ax5, Bx1, Ax2, Bx1, Ax1, Bx2, Ax2, Bx2, Ax2, Bx1, Ax1, Bx2, Ax1, Bx1, Ax2, Bx1, Ax1, Bx2, Ax1, Bx2, Ax1, Bx2, Ax1, Bx2, Ax2, Bx4, Ax1, Bx870, Cx1, Bx8, Cx2, Bx5, Cx1, Bx6, Cx1, Bx1, Cx6, Bx1, Cx3, Bx1, Cx1, Bx2, Cx1, Bx2, Cx2, Bx1, Cx5, Bx1, Cx817, Bx1, Cx2, Bx1, Cx2, Bx1, Cx8, Bx1, Cx4, Bx1, Cx1, Bx1, Cx2, Bx1, Cx2, Bx1, Cx6, Bx8, Cx1, Bx1, Cx2, Bx7, Cx1, Bx13, Cx1, Bx1, Cx1, Bx2, Cx1, Bx3, Cx1, Bx13, Ax1, Bx2, Ax1, Bx2, Ax1, Bx5, Ax1, Bx19, Cx1, Bx22, Ax1, Bx1, Ax1, Bx15, Ax1, Bx2, Ax1, Bx1, Ax1, Bx11, Ax1, Bx9, Ax1, Bx2, Ax1, Bx2, Ax1, Bx17, Ax1, Bx3, Ax1, Bx2, Ax1, Bx5, Ax1, Bx23, Ax1, Bx5, Ax1, Bx2, Ax1, Bx17, Ax1, Bx2, Ax1, Bx110, Ax1, Bx91, Ax1, Bx171, Ax1, Bx14, Ax1, Bx6, Ax1, Bx46, Ax2, Bx5, Ax1, Bx11, Ax1, Bx11, Ax1, Bx47, Ax1, Bx2, Ax1, Bx11, Ax1, Bx54, Ax1, Bx4, Ax1, Bx3, Ax1, Bx8, Ax1, Bx2, Ax1, Bx47, Ax1, Bx8, Ax1, Bx613"
030181_0.mid,"Ax647, Bx1463, Cx391, Bx1418",ABCB,B:46.760s; C:1:43.470; B:2:04.870,3919,"A:0.980, B:0.985, C:0.925","Ax632, Bx1, Ax4, Bx1, Ax1, Bx3, Ax3, Bx1428, Cx1, Bx9, Cx1, Bx2, Cx2, Bx3, Cx7, Bx1, Cx10, Bx1, Cx382, Bx1, Cx7, Bx2, Cx7, Bx2, Cx3, Bx1, Cx1, Bx1, Cx1, Bx2, Cx6, Bx8, Cx1, Bx1384"
031551_0.mid,"Ax949, Bx1162, Ax469",ABA,B:42.420s; A:1:36.790,2580,"A:0.978, B:0.959","Ax917, Bx1, Ax3, Bx2, Ax8, Bx1, Ax1, Bx3, Ax2, Bx2, Ax1, Bx16, Ax1, Bx6, Ax1, Bx1123, Ax1, Bx7, Ax1, Bx2, Ax1, Bx1, Ax3, Bx1, Ax1, Bx1, Ax12, Bx1, Ax4, Bx1, Ax1, Bx1, Ax453"
030596_0.mid,"Ax842, Bx404, Cx596, Bx990",ABCB,B:36.830s; C:49.560s; B:1:14.430,2832,"A:0.971, B:0.953, C:0.932","Ax776, Bx1, Ax22, Bx1, Ax1, Bx1, Ax3, Bx1, Ax2, Bx1, Ax1, Bx11, Ax3, Bx3, Ax1, Bx63, Ax1, Bx14, Ax1, Bx372, Cx1, Bx8, Cx1, Bx8, Cx1, Bx5, Cx4, Bx1, Cx2, Bx2, Cx1, Bx1, Cx5, Bx2, Cx549, Bx1, Cx1, Bx1, Cx1, Bx1, Cx2, Bx1, Cx9, Bx1, Cx1, Bx1, Cx5, Bx2, Cx1, Bx1, Cx1, Bx2, Cx1, Bx1, Cx1, Bx1, Cx2, Bx4, Cx2, Bx1, Cx1, Bx3, Cx1, Bx912"
030002_0.mid,"Ax1405, Bx1757",AB,B:1:30.720,3162,"A:0.995, B:0.990","Ax1398, Bx1, Ax3, Bx1, Ax2, Bx2, Ax1, Bx2, Ax1, Bx2, Ax1, Bx1748"
030389_0.mid,"Ax1103, Bx1011, Ax1120",ABA,B:23.830s; A:1:00.540,3234,"A:0.993, B:0.978","Ax1083, Bx1, Ax11, Bx1, Ax2, Bx1, Ax2, Bx1, Ax2, Bx4, Ax1, Bx1, Ax1, Bx5, Ax1, Bx993, Ax1, Bx20, Ax2, Bx1, Ax1100"
030740_0.mid,"Ax2903, Bx474",AB,B:3:25.060,3377,"A:0.998, B:0.981","Ax2869, Bx1, Ax1, Bx1, Ax5, Bx1, Ax1, Bx2, Ax2, Bx2, Ax1, Bx1, Ax2, Bx2, Ax1, Bx1, Ax1, Bx3, Ax1, Bx2, Ax1, Bx2, Ax1, Bx4, Ax1, Bx468",true
031237_0.mid,"Ax1450, Bx443",AB,B:1:39.650,1893,"A:0.996, B:0.984","Ax1416, Bx1, Ax13, Bx2, Ax5, Bx2, Ax1, Bx1, Ax2, Bx2, Ax1, Bx1, Ax2, Bx3, Ax1, Bx3, Ax1, Bx2, Ax1, Bx433"
030192_0.mid,"Ax1107, Bx266, Ax158",ABA,B:1:26.250; A:1:39.350,1531,"A:0.983, B:0.902","Ax1039, Bx1, Ax2, Bx1, Ax2, Bx1, Ax1, Bx2, Ax1, Bx5, Ax1, Bx250, Ax1, Bx2, Ax1, Bx5, Ax1, Bx21, Ax1, Bx5, Ax1, Bx2, Ax2, Bx4, Ax1, Bx1, Ax1, Bx3, Ax1, Bx1, Ax2, Bx1, Ax3, Bx2, Ax2, Bx2, Ax10, Bx1, Ax148"
031494_0.mid,"Ax548, Bx1546",AB,B:40.450s,2094,"A:0.990, B:0.981, C:0.689","Ax524, Bx2, Ax3, Bx7, Ax2, Bx1, Ax1, Bx16, Ax1, Bx2, Ax1, Bx1478, Cx1, Bx5, Cx1, Bx5, Cx1, Bx1, Cx4, Bx2, Cx1, Bx1, Cx2, Bx2, Cx2, Bx2, Cx2, Bx1, Cx5, Bx1, Cx17"
